title,href,date,city,theatre,price,type,subclass,status,min_price,max_price
大张伟大好时光2025又一个NICE演唱会西安站,https://detail.damai.cn/item.htm?id=901099314020,2025.06.28 周六 19:00,西安,西安奥体中心体育馆,233-1831,演唱会,其他,售票中,233.0,1831.0
满江MrMan乐队叛逆中年2025巡演北京站,https://detail.damai.cn/item.htm?id=929991858982,2025.06.28 周六 20:00,北京,MAO Livehouse北京(东郎店),220-400,演唱会,livehouse,售票中,220.0,400.0
廖俊涛2025去他们的世界巡演广州站,https://detail.damai.cn/item.htm?id=917569271716,2025.06.15 周日 18:00,广州,太空间livehouse,320-520,演唱会,livehouse,售票中,320.0,520.0
6月21日黑灯爆火主打秀丽水站,https://detail.damai.cn/item.htm?id=931109527606,2025.06.21 周六 19:30,丽水,丽水大剧院,180-480,曲苑杂坛,其他,售票中,180.0,480.0
快乐共暖脱口秀朋友季金华站毛豆邱瑞贾耗等,https://detail.damai.cn/item.htm?id=930379468898,2025.06.28 周六 19:30,金华,中国婺剧院 大剧场,180-580,曲苑杂坛,其他,售票中,180.0,580.0
7月12日声声不息港台经典超级金曲演唱会,https://detail.damai.cn/item.htm?id=921292012304,2025.07.12 周六 19:30,福州,福州大学城文化艺术中心,50-180,演唱会,其他,售票中,50.0,180.0
全景沉浸互动剧场大真探赵赶鹅,https://detail.damai.cn/item.htm?id=930913136001,2025.06.13-06.29,上海,滨港商业中心-大真探·赵赶鹅全景沉浸互动剧场(L6),198-858,话剧歌剧,话剧,售票中,198.0,858.0
我只在乎你陈佳2025邓丽君经典金曲专场演唱会,https://detail.damai.cn/item.htm?id=922809242130,2025.08.23 周六 19:30,成都,中国-欧洲中心天府音乐厅,99-580,演唱会,其他,售票中,99.0,580.0
郭德纲先生长篇单口相声改编秦霄贤杨九郎朱美吉主演话剧卿卿误我,https://detail.damai.cn/item.htm?id=917471466335,2025.07.04-07.05,苏州,苏州湾大剧院-歌剧厅,180-1680,话剧歌剧,话剧,售票中,180.0,1680.0
章鱼哥主打秀原气喜剧爆笑即兴互动秀春熙路茂业百货613615演,https://detail.damai.cn/item.htm?id=931528461194,2025.06.13-06.15,成都,原气喜剧脱口秀剧场(春熙路茂业百货店),128-328,曲苑杂坛,其他,售票中,128.0,328.0
崔健继续撒点野2025上海演唱会摇滚站立区,https://detail.damai.cn/item.htm?id=912177094400,2025.06.14 周六 19:00,上海,红石中心,1380,演唱会,livehouse,售票中,1380.0,1380.0
胡宇桐个人巡演坎滩ContainerH,https://detail.damai.cn/item.htm?id=934513589325,2025.06.15 周日 19:00,上海,瓦肆 VAS est(徐汇西岸店),480-980,演唱会,livehouse,售票中,480.0,980.0
麒麟剧社陶阳京剧专场六国封相,https://detail.damai.cn/item.htm?id=935100133962,2025.07.19 周六 19:30,天津,天津红旗剧院,120-360,曲苑杂坛,戏曲,售票中,120.0,360.0
2025七夕情人节跨越银河的爱恋TOP情歌演唱会此情不渝星月可鉴重庆站,https://detail.damai.cn/item.htm?id=936402999354,2025.08.29 周五 20:00,重庆,寅派动力,88-520,演唱会,其他,售票中,88.0,520.0
越剧情探,https://detail.damai.cn/item.htm?id=931565919799,2025.06.19 周四 19:30,杭州,杭州剧院,70-480,曲苑杂坛,戏曲,售票中,70.0,480.0
2025王浩信20周年生日音乐会广州站,https://detail.damai.cn/item.htm?id=920035147486,2025.07.05 周六 20:00,广州,音乐唐人馆,199-499,演唱会,其他,售票中,199.0,499.0
KPOPFM北京站夏日特辑千人KPOP音乐节酒水畅饮,https://detail.damai.cn/item.htm?id=924590310117,2025.06.14 周六 20:00,北京,SILO LIVE 开花豆声音仓库,88-188,演唱会,livehouse,售票中,88.0,188.0
何广智领衔樂式贩卖机包头站,https://detail.damai.cn/item.htm?id=929467934398,2025.06.27 周五 19:30,包头,包头大剧院,180-480,曲苑杂坛,其他,售票中,180.0,480.0
深圳夏日限定驻场版WetMen俄罗斯型男水舞团雨中,https://detail.damai.cn/item.htm?id=926648228431,2025.08.19-08.24,深圳,万象天地剧场,224-1080,话剧歌剧,音乐剧,售票中,224.0,1080.0
廖俊涛2025去他们的世界巡演深圳站,https://detail.damai.cn/item.htm?id=917596506573,2025.06.14 周六 18:00,深圳,NUBOND AIR,320-520,演唱会,livehouse,售票中,320.0,520.0
开心麻花人气悬疑喜剧同学会不会,https://detail.damai.cn/item.htm?id=928519784035,2025.07.04-07.06,天津,民园剧场,80-1080,话剧歌剧,话剧,售票中,80.0,1080.0
长沙经典必看沉浸式悬疑戏剧小镇富豪谋杀案11还原法庭辩论现场紧张刺激的办案过程,https://detail.damai.cn/item.htm?id=931514744804,2025.06.12-06.30,长沙,金牌沉浸式戏剧空间B厅(五一广场店),180-888,话剧歌剧,话剧,售票中,180.0,888.0
2025电竞世界杯CS2项目,https://detail.damai.cn/item.htm?id=931137413813,2025.08.21-08.24,利雅得,Boulevard Riyadh City,86-912,体育,电竞,售票中,86.0,912.0
新型关系20颜怡颜悦脱口秀专场武汉站,https://detail.damai.cn/item.htm?id=930010849363,2025.07.27 周日 19:30,武汉,湖北剧院,150-480,曲苑杂坛,其他,售票中,150.0,480.0
刘大拿拿爱发声巡回演唱会南京站,https://detail.damai.cn/item.htm?id=931696540825,2025.06.14 周六 19:30,南京,1701 Live House Max,220-380,演唱会,livehouse,售票中,220.0,380.0
俄罗斯音乐剧第一次约会,https://detail.damai.cn/item.htm?id=931626955476,2025.07.24-07.27,北京,保利剧院,180-880,话剧歌剧,音乐剧,售票中,180.0,880.0
四海福临2025德云社张九龄王九龙相声专场杭州站,https://detail.damai.cn/item.htm?id=918153749280,2025.06.28 周六 19:30,杭州,杭州剧院,99-699,曲苑杂坛,其他,售票中,99.0,699.0
816KPOPBOOM济南站BIGBANG专场千人KPOP狂欢音乐节,https://detail.damai.cn/item.htm?id=930463609673,2025.08.16 周六 20:00,济南,Modernsky Lab 济南,88-188,演唱会,livehouse,售票中,88.0,188.0
三体游戏文明碎片沉浸式VR探索体验,https://detail.damai.cn/item.htm?id=932190668049,2025.05.31-06.30,北京,三体·四维空间科幻体验中心 (北京微博IN店),99-299,展览休闲,特色体验,售票中,99.0,299.0
TRAPCN贵阳站,https://detail.damai.cn/item.htm?id=934104947443,2025.06.21 周六 19:00,贵阳,Z纪元空间,139,演唱会,livehouse,售票中,139.0,139.0
杨润泽我们将回到宇宙诞之前2025巡演杭州站,https://detail.damai.cn/item.htm?id=932064073954,2025.06.22 周日 18:00,杭州,蛙厂RMMF·杭州·新天地,198-398,演唱会,livehouse,售票中,198.0,398.0
网易云音乐xKPOPCN千人KPOP派对乌鲁木齐站,https://detail.damai.cn/item.htm?id=928462980610,2025.06.20-06.21,乌鲁木齐,润现场RUN LIVE,88-128,演唱会,livehouse,售票中,88.0,128.0
女性超燃觉醒音乐剧她对此感到厌烦,https://detail.damai.cn/item.htm?id=925333675022,2025.09.13-09.14,佛山,佛山琼花大剧院,180-580,话剧歌剧,音乐剧,售票中,180.0,580.0
开心麻花综艺同款原创爆笑新喜剧整个喜剧,https://detail.damai.cn/item.htm?id=929523839984,2025.06.13-06.15,珠海,开心麻花剧场(横琴文化艺术中心),60-380,话剧歌剧,话剧,售票中,60.0,380.0
国家大剧院制作莫扎特歌剧费加罗的婚礼,https://detail.damai.cn/item.htm?id=923816443016,2025.07.15-07.20,北京,国家大剧院-戏剧场,200-880,话剧歌剧,音乐剧,售票中,200.0,880.0
7月11日13日严值高何必西天万里遥喜剧专场巡演北京站,https://detail.damai.cn/item.htm?id=927552794324,2025.07.11-07.13,北京,北京喜剧院,100-580,曲苑杂坛,其他,售票中,100.0,580.0
2025南湖有戏惠剧展开心麻花舞台剧贼想得到你,https://detail.damai.cn/item.htm?id=927142879282,2025.06.17-06.18,嘉兴,嘉兴大剧院大剧场,50-380,话剧歌剧,话剧,售票中,50.0,380.0
绍兴小百花越剧团越剧何文秀,https://detail.damai.cn/item.htm?id=934420336485,2025.06.20 周五 19:30,杭州,杭州剧院,100-380,曲苑杂坛,戏曲,售票中,100.0,380.0
2025南湖有戏惠剧展中国东方歌舞团舞剧天下大足,https://detail.damai.cn/item.htm?id=928075853789,2025.06.13-06.14,嘉兴,嘉兴大剧院大剧场,50-480,话剧歌剧,音乐剧,售票中,50.0,480.0
时光让我们留下来流行美声音乐会,https://detail.damai.cn/item.htm?id=912726757508,2025.06.27 周五 19:30,北京,北京展览馆剧场,280-1600,演唱会,其他,售票中,280.0,1600.0
爱是千万种答案2025庄心妍巡回演唱会杭州站,https://detail.damai.cn/item.htm?id=906576084489,2025.06.21 周六 19:00,杭州,黄龙体育中心体育馆,299-1299,演唱会,其他,售票中,299.0,1299.0
