title,href,date,city,theatre,price,type,subclass,status
倒带2004·青春园游演唱会——一键回到华语乐坛黄金年代（南昌站）,https://detail.damai.cn/item.htm?id=923386404562,2025.07.26 周六 20:00,南昌,瓦肆 VAS NANCHANG,98-380,演唱会,其他,售票中
话剧《庆余年》,https://detail.damai.cn/item.htm?id=915116756526,2025.06.13-07.27,上海,星空间72号·神庙剧场,180-480,话剧歌剧,话剧,售票中
7月5日·【深圳】乐呵兄弟领衔葫芦相声社专场演出-深圳站,https://detail.damai.cn/item.htm?id=930648609874,2025.07.05 周六 19:30,深圳,深圳蛇口风华大剧院,100-380,曲苑杂坛,其他,售票中
环境式悬疑互动戏剧《请柬》,https://detail.damai.cn/item.htm?id=930608764145,2025.06.14-06.29,重庆,谜盒剧场,78-138,话剧歌剧,话剧,售票中
【青年舞蹈戏剧节】喜剧《蒋公的面子》,https://detail.damai.cn/item.htm?id=926516983437,2025.07.19 周六 19:30,金华,义乌文化广场剧院,80-380,话剧歌剧,话剧,售票中
FAMILY洋湖自然亲子音乐节,https://detail.damai.cn/item.htm?id=918068704512,2025.10.25-10.26,长沙,洋湖国家湿地公园,199-399,演唱会,音乐节,售票中
2025胡海泉【流浪者食堂】演唱会-无锡站,https://detail.damai.cn/item.htm?id=909282240626,2025.06.14 周六 19:30,无锡,无锡大剧院歌剧厅,180-980,演唱会,其他,售票中
西班牙弗拉明戈经典舞剧《歌剧魅影》郑州站,https://detail.damai.cn/item.htm?id=929498210602,2025.08.27 周三 19:30,郑州,河南省人民会堂,60-880,话剧歌剧,音乐剧,售票中
西班牙格拉纳达舞团弗拉明戈经典舞剧《歌剧魅影》,https://detail.damai.cn/item.htm?id=934015699217,2025.08.05 周二 19:30,宁波,宁波大剧院大剧场,80-880,话剧歌剧,音乐剧,售票中
国家大剧院与北京舞蹈学院联合出品原创舞蹈诗剧《杨家岭的春天》,https://detail.damai.cn/item.htm?id=933555195291,2025.07.25-07.26,北京,(通州区)北京艺术中心-戏剧场-国家大剧院分址,60-380,话剧歌剧,音乐剧,售票中
《罗密欧与朱丽叶在鸡毛之地》阿那亚戏剧节特邀剧目,https://detail.damai.cn/item.htm?id=912749394521,2025.06.19-06.21,秦皇岛,艺术中心圆形剧场,280,话剧歌剧,话剧,售票中
《β计划-神曲启示录》泽野弘之ACG二次元演唱会-深圳龙岗站,https://detail.damai.cn/item.htm?id=921911915189,2025.06.14 周六,深圳,万象影城布吉IMAX店(华润万象汇深圳布吉店),78-178,演唱会,其他,售票中
开心麻花志怪喜剧《作妖记》,https://detail.damai.cn/item.htm?id=934148171817,2025.07.04-07.05,苏州,开心麻花运河剧场,80-580,话剧歌剧,话剧,售票中
舞剧《永不消逝的电波》,https://detail.damai.cn/item.htm?id=924688297189,2025.09.05-09.07,南通,南通大剧院-歌剧厅,80-880,话剧歌剧,音乐剧,售票中
“四海福临”2025 德云社张九南、高九成相声专场-西安站,https://detail.damai.cn/item.htm?id=921978199518,2025.07.12 周六 19:30,西安,西安索菲特人民大厦大剧院,180-1100,曲苑杂坛,其他,售票中
音乐剧《夜幕下的哈尔滨》,https://detail.damai.cn/item.htm?id=921050200147,2025.07.19-07.20,上海,北外滩友邦大剧院-大剧场,80-880,话剧歌剧,音乐剧,售票中
【文松领衔】刘老根大舞台巡演——宁波站,https://detail.damai.cn/item.htm?id=934473259400,2025.06.29 周日 19:30,宁波,宁波文化广场大剧院,180-880,话剧歌剧,音乐剧,售票中
康士坦的变化球 滚石撞乐队 广州场7/5,https://detail.damai.cn/item.htm?id=930628361944,2025.07.05 周六 20:00,广州,中央车站展演中心,219-359,演唱会,livehouse,售票中
